"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","code saison","code avion","Livraison","Matériau d'emballage","Préparation","DQR","Score unique EF","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"13712",13712,"fruits, légumes, légumineuses et oléagineux","fruits","Abricot au sirop léger, appertisé, égoutté","Apricot, canned in light syrup, drained","2",0,"Ambiant (long)","Acier","Pas de préparation",2.46,0.17074512,0.92671431,1.0706084e-7,1.449317,0.0038800725,8.6696314e-8,9.948527e-9,3.5941373e-9,0.0079368358,0.00029651921,0.0012129561,0.027788962,31.4755794,42.929789,1.1695392,39.153196,0.0000074389955
"13713",13713,"fruits, légumes, légumineuses et oléagineux","fruits","Abricot au sirop léger, appertisé, non égoutté","Apricot, canned in light syrup, not drained","2",0,"Ambiant (long)","Acier","Pas de préparation",2.46,0.10049641,0.54492743,6.2961577e-8,0.85251219,0.0022814494,5.0960538e-8,5.814634e-9,2.1126611e-9,0.0046664258,0.00017396159,0.00070504632,0.016339901,18.4887618,25.249843,0.70386795,23.028998,0.0000043732298
"13714",13714,"fruits, légumes, légumineuses et oléagineux","fruits","Abricot au sirop, appertisé, égoutté","Apricot, in syrup, canned, drained","2",0,"Ambiant (long)","Acier","Pas de préparation",2.46,0.17338605,0.9410672,1.0871871e-7,1.4717533,0.0039401711,8.8039764e-8,1.0103937e-8,3.6498319e-9,0.0080597836,0.00030112663,0.0012320505,0.028219378,31.9638058,43.594449,1.1870457,39.759369,0.0000075542499
"13715",13715,"fruits, légumes, légumineuses et oléagineux","fruits","Abricot au sirop, appertisé, non égoutté","Apricot, in syrup, canned, not drained","2",0,"Ambiant (long)","Acier","Pas de préparation",2.44,0.10049641,0.54492743,6.2961577e-8,0.85251219,0.0022814494,5.0960538e-8,5.814634e-9,2.1126611e-9,0.0046664258,0.00017396159,0.00070504632,0.016339901,18.4887618,25.249843,0.70386795,23.028998,0.0000043732298
"13000",13000,"fruits, légumes, légumineuses et oléagineux","fruits","Abricot, dénoyauté, cru","Apricot, pitted, raw","2",0,"Ambiant (moyen)","LDPE","Pas de préparation",2.2,0.11235591,0.88063832,9.6609703e-8,0.12612053,0.0033360058,6.4552391e-8,8.9692397e-9,1.8448601e-9,0.0073117916,0.00020148987,0.001068295,0.026912677,31.3977136,43.84143,1.340422,13.827532,0.0000063656195
"13001",13001,"fruits, légumes, légumineuses et oléagineux","fruits","Abricot, dénoyauté, sec","Apricot, pitted, dried","2",0,"Ambiant (moyen)","LDPE","Pas de préparation",2.64,0.38921189,1.8020296,1.9190082e-7,0.26290688,0.0096446859,2.5437328e-7,3.7016767e-8,9.7465515e-9,0.032818748,0.00057702464,0.0035213236,0.13356675,177.85802800000002,240.03261,6.2122565,24.688373,0.000023195024
"15000",15000,"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Amande (avec peau)","Almond, (with peel)","2",0,"Ambiant (long)","LDPE","Pas de préparation",3.19,0.7603475399999999,2.6884978,2.309939e-7,0.21030886,0.017147823,3.9663431e-7,8.9683298e-8,4.1878013e-9,0.057888216,0.00072346649,0.026800421,0.24087088,264.12757,379.70975,31.080399,27.275399,0.00002089359
"15042",15042,"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Amande, grillée, salée","Almond, grilled, salted","2",0,"Ambiant (long)","LDPE","Pas de préparation",3.68,0.7603475399999999,2.6884978,2.309939e-7,0.21030886,0.017147823,3.9663431e-7,8.9683298e-8,4.1878013e-9,0.057888216,0.00072346649,0.026800421,0.24087088,264.12757,379.70975,31.080399,27.275399,0.00002089359
"15041",15041,"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Amande, mondée, émondée ou blanchie","Almond, peeled, unpeeled or blanched","2",0,"Ambiant (long)","LDPE","Pas de préparation",3.68,0.7603475399999999,2.6884978,2.309939e-7,0.21030886,0.017147823,3.9663431e-7,8.9683298e-8,4.1878013e-9,0.057888216,0.00072346649,0.026800421,0.24087088,264.12757,379.70975,31.080399,27.275399,0.00002089359
"13716",13716,"fruits, légumes, légumineuses et oléagineux","fruits","Ananas au sirop et jus d'ananas, appertisé, égoutté","Pineapple, in pineapple juice and syrup, canned, drained","2",0,"Ambiant (long)","Acier","Pas de préparation",2.93,0.24769773000000003,1.4158682,1.5331135e-7,1.4113401,0.007439202,9.3999057e-8,2.2025217e-7,3.4430314e-9,0.011796711,0.00044933772,0.010010933,0.035950053,44.398061999999996,32.58659,0.72057514,42.109503,0.0000097503978
